"filename", "language", "Markdown", "YAML", "Dart", "Properties", "Swift", "CMake", "C++", "XML", "comment", "blank", "total"
"/home/ahmed/Desktop/Quran2U/README.md", "Markdown", 317, 0, 0, 0, 0, 0, 0, 0, 0, 88, 405
"/home/ahmed/Desktop/Quran2U/analysis_options.yaml", "YAML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/home/ahmed/Desktop/Quran2U/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 20, 10, 2, 32
"/home/ahmed/Desktop/Quran2U/android/app/src/main/res/drawable/widget_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/home/ahmed/Desktop/Quran2U/android/app/src/main/res/drawable/widget_cell_active.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/home/ahmed/Desktop/Quran2U/android/app/src/main/res/drawable/widget_cell_normal.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/home/ahmed/Desktop/Quran2U/android/app/src/main/res/drawable/widget_pill.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/home/ahmed/Desktop/Quran2U/android/app/src/main/res/drawable/widget_row_highlight.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/home/ahmed/Desktop/Quran2U/android/app/src/main/res/layout/prayer_times_widget.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 126, 6, 6, 138
"/home/ahmed/Desktop/Quran2U/android/app/src/main/res/xml/prayer_times_widget_info.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/ahmed/Desktop/Quran2U/android/gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 5, 1, 9
"/home/ahmed/Desktop/Quran2U/lib/data/changelog_data.dart", "Dart", 0, 0, 477, 0, 0, 0, 0, 0, 44, 27, 548
"/home/ahmed/Desktop/Quran2U/lib/data/daily_inspiration_data.dart", "Dart", 0, 0, 418, 0, 0, 0, 0, 0, 82, 8, 508
"/home/ahmed/Desktop/Quran2U/lib/data/quran_root_lexicon.dart", "Dart", 0, 0, 1296, 0, 0, 0, 0, 0, 19, 11, 1326
"/home/ahmed/Desktop/Quran2U/lib/data/quran_surah_data.dart", "Dart", 0, 0, 136, 0, 0, 0, 0, 0, 26, 13, 175
"/home/ahmed/Desktop/Quran2U/lib/data/quran_theme_index.dart", "Dart", 0, 0, 811, 0, 0, 0, 0, 0, 25, 11, 847
"/home/ahmed/Desktop/Quran2U/lib/main.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 24, 7, 71
"/home/ahmed/Desktop/Quran2U/lib/models/share_card_style.dart", "Dart", 0, 0, 68, 0, 0, 0, 0, 0, 17, 15, 100
"/home/ahmed/Desktop/Quran2U/lib/models/word_insight.dart", "Dart", 0, 0, 147, 0, 0, 0, 0, 0, 19, 29, 195
