"filename", "language", "C++", "CMake", "JSON", "HTML", "Dart", "YAML", "Swift", "XML", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\FC\Desktop\Quran app\Quran2U\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\FC\Desktop\Quran app\Quran2U\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\FC\Desktop\Quran app\Quran2U\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\FC\Desktop\Quran app\Quran2U\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 8, 13, 63
"c:\Users\FC\Desktop\Quran app\Quran2U\test_urls.dart", "Dart", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 3, 9, 55
"c:\Users\FC\Desktop\Quran app\Quran2U\web\index.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 23, 5, 47
"c:\Users\FC\Desktop\Quran app\Quran2U\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\FC\Desktop\Quran app\Quran2U\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\FC\Desktop\Quran app\Quran2U\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\FC\Desktop\Quran app\Quran2U\windows\flutter\generated_plugin_registrant.cc", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\FC\Desktop\Quran app\Quran2U\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\FC\Desktop\Quran app\Quran2U\windows\flutter\generated_plugins.cmake", "CMake", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\FC\Desktop\Quran app\Quran2U\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\FC\Desktop\Quran app\Quran2U\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\FC\Desktop\Quran app\Quran2U\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\FC\Desktop\Quran app\Quran2U\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\FC\Desktop\Quran app\Quran2U\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\FC\Desktop\Quran app\Quran2U\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\FC\Desktop\Quran app\Quran2U\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\FC\Desktop\Quran app\Quran2U\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\FC\Desktop\Quran app\Quran2U\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 564, 464, 248, 19, 7458, 45, 75, 506, 47, 7, 454, 1038, 10925
